Ngày,Địa chỉ,Quận,Huyện,Loại hình nhà ở,Giấy tờ pháp lý,Số tầng,Số phòng ngủ,Diện tích,Dài,Rộng,Giá/m2
8/4/2020,"Đường Lê Trọng Tấn, Phường Phú La, Quận Hà Đông, Hà Nội",Quận Hà Đông,Phường Phú La,Nhà phố liền kề,Đã có sổ,5,6 phòng,83 m²,NaN,NaN,"104,43 triệu/m²"
8/4/2020,"Đường Số 1, Phường Văn Quán, Quận Hà Đông, Hà Nội",Quận Hà Đông,Phường Văn Quán,"Nhà mặt phố, mặt tiền",Đã có sổ,4,4 phòng,68 m²,NaN,NaN,"76,47 triệu/m²"
8/4/2020,"Đường Trần Phú, Phường Văn Quán, Quận Hà Đông, Hà Nội",Quận Hà Đông,Phường Văn Quán,"Nhà ngõ, hẻm",Đã có sổ,4,4 phòng,60 m²,15 m,4 m,"83,33 triệu/m²"
8/4/2020,"KĐT Văn Phú, Phường Phú La, Quận Hà Đông, Hà Nội",Quận Hà Đông,Phường Phú La,"Nhà ngõ, hẻm",Đã có sổ,5,4 phòng,50 m²,NaN,4.5 m,108 triệu/m²
8/4/2020,"Đường Chiến Thắng, Phường Văn Quán, Quận Hà Đông, Hà Nội",Quận Hà Đông,Phường Văn Quán,"Nhà mặt phố, mặt tiền",Đã có sổ,2,2 phòng,45 m²,13 m,3.4 m,"122,22 triệu/m²"
8/4/2020,"Đường Bà Triệu, Phường Hà Cầu, Quận Hà Đông, Hà Nội",Quận Hà Đông,Phường Hà Cầu,Nhà phố liền kề,Đã có sổ,NaN,5 phòng,36 m²,NaN,NaN,"72,22 triệu/m²"
8/4/2020,"Đường Tô Hiệu, Phường Hà Cầu, Quận Hà Đông, Hà Nội",Quận Hà Đông,Phường Hà Cầu,"Nhà mặt phố, mặt tiền",Đã có sổ,5,4 phòng,50 m²,NaN,NaN,92 triệu/m²
8/4/2020,"đường cự đà, Phường Kiến Hưng, Quận Hà Đông, Hà Nội",Quận Hà Đông,Phường Kiến Hưng,"Nhà ngõ, hẻm",NaN,NaN,4 phòng,32.1 m²,9.72 m,3.3 m,50 triệu/m²
8/4/2020,"Đường Nghĩa Lộ, Phường Yên Nghĩa, Quận Hà Đông, Hà Nội",Quận Hà Đông,Phường Yên Nghĩa,"Nhà ngõ, hẻm",NaN,NaN,3 phòng,32 m²,8 m,4 m,"56,25 triệu/m²"
8/4/2020,"Phố Văn Quán, Phường Văn Quán, Quận Hà Đông, Hà Nội",Quận Hà Đông,Phường Văn Quán,"Nhà mặt phố, mặt tiền",Đã có sổ,5,4 phòng,37 m²,11 m,3.7 m,"116,22 triệu/m²"
8/4/2020,"Đường Phan Đình Giót, Phường La Khê, Quận Hà Đông, Hà Nội",Quận Hà Đông,Phường La Khê,"Nhà ngõ, hẻm",Đã có sổ,2,2 phòng,48 m²,NaN,NaN,"45,83 triệu/m²"
8/4/2020,"Đường Trần Đăng Ninh, Phường Quang Trung, Quận Hà Đông, Hà Nội",Quận Hà Đông,Phường Quang Trung,"Nhà mặt phố, mặt tiền",Đã có sổ,5,4 phòng,36 m²,NaN,NaN,"144,44 triệu/m²"
8/4/2020,"26, Đường Văn Quán, Phường Văn Quán, Quận Hà Đông, Hà Nội",Quận Hà Đông,Phường Văn Quán,"Nhà ngõ, hẻm",NaN,NaN,4 phòng,60 m²,NaN,NaN,80 triệu/m²
8/4/2020,"35, Đường Ngô Thì Sỹ, Phường Vạn Phúc, Quận Hà Đông, Hà Nội",Quận Hà Đông,Phường Vạn Phúc,"Nhà ngõ, hẻm",Đã có sổ,5,3 phòng,30 m²,10 m,3.2 m,95 triệu/m²
8/4/2020,"Đường Trần Đăng Ninh, Phường Hà Cầu, Quận Hà Đông, Hà Nội",Quận Hà Đông,Phường Hà Cầu,"Nhà mặt phố, mặt tiền",Đã có sổ,5,4 phòng,32 m²,NaN,33 m,"109,38 triệu/m²"
8/4/2020,"Đường Nghĩa Bình, Phường Yên Nghĩa, Quận Hà Đông, Hà Nội",Quận Hà Đông,Phường Yên Nghĩa,"Nhà ngõ, hẻm",NaN,NaN,3 phòng,32 m²,8 m,4 m,"43,75 triệu/m²"
8/4/2020,"Đường Trinh Lương||1905, Phường Phú Lương, Quận Hà Đông, Hà Nội",Quận Hà Đông,Phường Phú Lương,"Nhà ngõ, hẻm",NaN,NaN,4 phòng,41 m²,10 m,4.1 m,"51,22 triệu/m²"
8/4/2020,"124, Đường Chiến Thắng, Phường Nguyễn Trãi, Quận Hà Đông, Hà Nội",Quận Hà Đông,Phường Nguyễn Trãi,"Nhà mặt phố, mặt tiền",Đã có sổ,6,7 phòng,36 m²,10 m,3.6 m,"152,78 triệu/m²"
8/4/2020,"Đường Quang Trung||1869, Phường Yên Nghĩa, Quận Hà Đông, Hà Nội",Quận Hà Đông,Phường Yên Nghĩa,"Nhà ngõ, hẻm",NaN,NaN,4 phòng,36 m²,9 m,4 m,"52,78 triệu/m²"
8/4/2020,"đường quang trung, Phường Quang Trung, Quận Hà Đông, Hà Nội",Quận Hà Đông,Phường Quang Trung,"Nhà ngõ, hẻm",NaN,NaN,3 phòng,32 m²,8 m,4 m,"53,13 triệu/m²"
8/4/2020,"Khu đô thị Geleximco Đường Lê Trọng Tấn, Phường Dương Nội, Quận Hà Đông, Hà Nội",Quận Hà Đông,Phường Dương Nội,"Nhà ngõ, hẻm",Đã có sổ,3,3 phòng,33 m²,NaN,NaN,"28,79 triệu/m²"
8/4/2020,"Đường Phú Lương, Phường Phú Lương, Quận Hà Đông, Hà Nội",Quận Hà Đông,Phường Phú Lương,"Nhà ngõ, hẻm",NaN,NaN,3 phòng,32 m²,8 m,4 m,"48,44 triệu/m²"
8/4/2020,"Yên Xá, Phường Văn Quán, Quận Hà Đông, Hà Nội",Quận Hà Đông,Phường Văn Quán,"Nhà ngõ, hẻm",Đã có sổ,NaN,1 phòng,55 m²,10 m,6 m,"39,09 triệu/m²"
8/4/2020,"Đường Nguyễn Viết Xuân, Phường Quang Trung, Quận Hà Đông, Hà Nội",Quận Hà Đông,Phường Quang Trung,"Nhà mặt phố, mặt tiền",Đã có sổ,5,3 phòng,42 m²,NaN,4.5 m,"133,33 triệu/m²"
8/4/2020,"số 5 nghách 8711phố yên lộ, phố yên lộ, Phường Yên Nghĩa, Quận Hà Đông, Hà Nội",Quận Hà Đông,Phường Yên Nghĩa,"Nhà ngõ, hẻm",Đã có sổ,2,2 phòng,30 m²,8 m,4 m,40 triệu/m²
8/4/2020,"Đường Lê Trọng Tấn, Phường Dương Nội, Quận Hà Đông, Hà Nội",Quận Hà Đông,Phường Dương Nội,"Nhà ngõ, hẻm",Đã có sổ,3,2 phòng,30 m²,8 m,4 m,"40,27 triệu/m²"
8/4/2020,"Đường Ngô Thì Sỹ||1827, Phường Vạn Phúc, Quận Hà Đông, Hà Nội",Quận Hà Đông,Phường Vạn Phúc,"Nhà ngõ, hẻm",NaN,NaN,3 phòng,30 m²,NaN,3.78 m,"79,67 triệu/m²"
8/4/2020,"Đường 70, Phường Phú La, Quận Hà Đông, Hà Nội",Quận Hà Đông,Phường Phú La,"Nhà ngõ, hẻm",Đã có sổ,5,4 phòng,38 m²,NaN,4 m,"113,16 triệu/m²"
8/4/2020,"Đường Phố Lụa||1855, Phường Vạn Phúc, Quận Hà Đông, Hà Nội",Quận Hà Đông,Phường Vạn Phúc,"Nhà ngõ, hẻm",NaN,NaN,4 phòng,33 m²,NaN,3.65 m,"72,73 triệu/m²"
8/4/2020,"xxx, Mậu Lương, Phường Kiến Hưng, Quận Hà Đông, Hà Nội",Quận Hà Đông,Phường Kiến Hưng,"Nhà ngõ, hẻm",Đã có sổ,5,4 phòng,38 m²,10 m,4 m,"113,16 triệu/m²"
8/4/2020,"Đường Phố Lụa, Phường Vạn Phúc, Quận Hà Đông, Hà Nội",Quận Hà Đông,Phường Vạn Phúc,"Nhà ngõ, hẻm",NaN,NaN,4 phòng,35 m²,NaN,3.5 m,"77,14 triệu/m²"
8/4/2020,"cầu am, Phường Vạn Phúc, Quận Hà Đông, Hà Nội",Quận Hà Đông,Phường Vạn Phúc,"Nhà ngõ, hẻm",NaN,NaN,4 phòng,30 m²,NaN,3.65 m,75 triệu/m²
8/4/2020,"Trần Phú, Phường Mộ Lao, Quận Hà Đông, Hà Nội",Quận Hà Đông,Phường Mộ Lao,"Nhà mặt phố, mặt tiền",Đã có sổ,NaN,4 phòng,62 m²,5 m,6 m,"80,65 triệu/m²"
8/4/2020,"Đường Tô Hiệu, Phường Văn Quán, Quận Hà Đông, Hà Nội",Quận Hà Đông,Phường Văn Quán,"Nhà ngõ, hẻm",NaN,NaN,4 phòng,38 m²,NaN,NaN,"106,58 triệu/m²"
8/4/2020,"Đường Mậu Lương, Phường Kiến Hưng, Quận Hà Đông, Hà Nội",Quận Hà Đông,Phường Kiến Hưng,"Nhà mặt phố, mặt tiền",Đã có sổ,5,3 phòng,33 m²,NaN,5 m,"65,15 triệu/m²"
8/4/2020,"Đường Tố Hữu, Phường Mộ Lao, Quận Hà Đông, Hà Nội",Quận Hà Đông,Phường Mộ Lao,"Nhà ngõ, hẻm",NaN,NaN,3 phòng,45 m²,NaN,NaN,"55,56 triệu/m²"
8/4/2020,"Đường Đa Sỹ, Phường Kiến Hưng, Quận Hà Đông, Hà Nội",Quận Hà Đông,Phường Kiến Hưng,"Nhà ngõ, hẻm",Đã có sổ,5,4 phòng,35 m²,NaN,NaN,"58,86 triệu/m²"
8/4/2020,"Đường Văn Quán, Phường Văn Quán, Quận Hà Đông, Hà Nội",Quận Hà Đông,Phường Văn Quán,"Nhà ngõ, hẻm",NaN,NaN,3 phòng,34 m²,NaN,NaN,"64,71 triệu/m²"
8/4/2020,"Đường Mậu Lương, Phường Hà Cầu, Quận Hà Đông, Hà Nội",Quận Hà Đông,Phường Hà Cầu,"Nhà ngõ, hẻm",Đã có sổ,5,3 phòng,33 m²,NaN,NaN,"63,33 triệu/m²"
8/4/2020,"phố phú lương, Phường Phú Lương, Quận Hà Đông, Hà Nội",Quận Hà Đông,Phường Phú Lương,"Nhà ngõ, hẻm",NaN,NaN,3 phòng,30 m²,NaN,NaN,"51,67 triệu/m²"
8/4/2020,"Đường Vạn Phúc, Phường Văn Quán, Quận Hà Đông, Hà Nội",Quận Hà Đông,Phường Văn Quán,"Nhà ngõ, hẻm",NaN,NaN,3 phòng,30 m²,NaN,NaN,"79,33 triệu/m²"
8/4/2020,"Khu đô thị Geleximco Đường Lê Trọng Tấn, Phường Dương Nội, Quận Hà Đông, Hà Nội",Quận Hà Đông,Phường Dương Nội,"Nhà ngõ, hẻm",Đã có sổ,3,3 phòng,33 m²,NaN,4 m,"31,82 triệu/m²"
8/4/2020,"Đường Yên Lộ, Phường Yên Nghĩa, Quận Hà Đông, Hà Nội",Quận Hà Đông,Phường Yên Nghĩa,"Nhà ngõ, hẻm",NaN,NaN,4 phòng,35.22 m²,NaN,NaN,"44,29 triệu/m²"
8/4/2020,"huyền kỳ, Phường Phú Lãm, Quận Hà Đông, Hà Nội",Quận Hà Đông,Phường Phú Lãm,"Nhà ngõ, hẻm",Đã có sổ,4,3 phòng,32 m²,NaN,3.75 m,"53,13 triệu/m²"
8/4/2020,"Đường Phố Lụa||1855, Phường Vạn Phúc, Quận Hà Đông, Hà Nội",Quận Hà Đông,Phường Vạn Phúc,"Nhà ngõ, hẻm",Đã có sổ,4,4 phòng,33 m²,NaN,3.65 m,"81,82 triệu/m²"
8/4/2020,"Đường Biên Giang, Phường Biên Giang, Quận Hà Đông, Hà Nội",Quận Hà Đông,Phường Biên Giang,"Nhà mặt phố, mặt tiền",Đã có sổ,3,4 phòng,110 m²,15.7 m,7 m,"31,82 triệu/m²"
8/4/2020,"Đường Nghĩa Bình||1820, Phường Yên Nghĩa, Quận Hà Đông, Hà Nội",Quận Hà Đông,Phường Yên Nghĩa,"Nhà ngõ, hẻm",Đã có sổ,4,4 phòng,35 m²,NaN,3.5 m,"41,43 triệu/m²"
8/4/2020,"cầu am, Phường Vạn Phúc, Quận Hà Đông, Hà Nội",Quận Hà Đông,Phường Vạn Phúc,"Nhà ngõ, hẻm",Đã có sổ,5,4 phòng,31 m²,NaN,3.8 m,"72,26 triệu/m²"
8/4/2020,"Đường Tố Hữu, Phường Yên Nghĩa, Quận Hà Đông, Hà Nội",Quận Hà Đông,Phường Yên Nghĩa,"Nhà ngõ, hẻm",NaN,NaN,3 phòng,35 m²,NaN,NaN,"45,71 triệu/m²"
8/4/2020,"Đường Nguyễn Văn Trỗi, Phường Mộ Lao, Quận Hà Đông, Hà Nội",Quận Hà Đông,Phường Mộ Lao,"Nhà ngõ, hẻm",Đã có sổ,4,4 phòng,33 m²,NaN,NaN,"83,33 triệu/m²"
8/4/2020,"Đường Hòa Bình||1785, Phường Yên Nghĩa, Quận Hà Đông, Hà Nội",Quận Hà Đông,Phường Yên Nghĩa,"Nhà ngõ, hẻm",Đã có sổ,4,4 phòng,36 m²,NaN,4.6 m,"40,28 triệu/m²"
8/4/2020,"Đường Hòa Bình, Phường Yên Nghĩa, Quận Hà Đông, Hà Nội",Quận Hà Đông,Phường Yên Nghĩa,"Nhà ngõ, hẻm",NaN,NaN,3 phòng,35.21 m²,NaN,NaN,"41,43 triệu/m²"
8/4/2020,"hòa bình, Phường Yên Nghĩa, Quận Hà Đông, Hà Nội",Quận Hà Đông,Phường Yên Nghĩa,"Nhà ngõ, hẻm",Đã có sổ,4,4 phòng,40 m²,NaN,5.6 m,"40,5 triệu/m²"
8/4/2020,"Đường Vạn Phúc, Phường Vạn Phúc, Quận Hà Đông, Hà Nội",Quận Hà Đông,Phường Vạn Phúc,"Nhà ngõ, hẻm",Đã có sổ,5,4 phòng,36 m²,NaN,4 m,"69,44 triệu/m²"
8/4/2020,"Đường Chiến Thắng, Phường Văn Quán, Quận Hà Đông, Hà Nội",Quận Hà Đông,Phường Văn Quán,"Nhà ngõ, hẻm",Đã có sổ,4,4 phòng,43 m²,12 m,4 m,"60,47 triệu/m²"
8/4/2020,"Đường Yên Hòa||1925, Phường Yên Nghĩa, Quận Hà Đông, Hà Nội",Quận Hà Đông,Phường Yên Nghĩa,"Nhà ngõ, hẻm",Đã có sổ,4,4 phòng,35 m²,NaN,3.8 m,40 triệu/m²
8/4/2020,"phan đình giót, Phường La Khê, Quận Hà Đông, Hà Nội",Quận Hà Đông,Phường La Khê,"Nhà ngõ, hẻm",Đã có sổ,5,3 phòng,35 m²,NaN,NaN,"81,43 triệu/m²"
8/4/2020,"Đường Phố Lụa, Phường Mộ Lao, Quận Hà Đông, Hà Nội",Quận Hà Đông,Phường Mộ Lao,"Nhà ngõ, hẻm",Đã có sổ,NaN,3 phòng,3 m²,NaN,NaN,810 triệu/m²
8/4/2020,"Đường Quang Trung||1869, Phường La Khê, Quận Hà Đông, Hà Nội",Quận Hà Đông,Phường La Khê,"Nhà ngõ, hẻm",Đã có sổ,4,3 phòng,33 m²,8 m,4 m,"65,15 triệu/m²"
8/4/2020,"Đường Dương Nội, Phường Dương Nội, Quận Hà Đông, Hà Nội",Quận Hà Đông,Phường Dương Nội,"Nhà ngõ, hẻm",NaN,NaN,4 phòng,40.22 m²,NaN,NaN,"41,25 triệu/m²"
8/4/2020,"Đường Yên Lộ, Phường Yên Nghĩa, Quận Hà Đông, Hà Nội",Quận Hà Đông,Phường Yên Nghĩa,"Nhà ngõ, hẻm",Đã có sổ,4,3 phòng,32 m²,NaN,3.65 m,"55,94 triệu/m²"
8/4/2020,"Phan Đình Giót, Phường La Khê, Quận Hà Đông, Hà Nội",Quận Hà Đông,Phường La Khê,"Nhà ngõ, hẻm",Đã có sổ,5,3 phòng,34 m²,NaN,3.8 m,"67,65 triệu/m²"
8/4/2020,"Đường Thanh Bình, Phường Mộ Lao, Quận Hà Đông, Hà Nội",Quận Hà Đông,Phường Mộ Lao,"Nhà ngõ, hẻm",NaN,NaN,nhiều hơn 10 phòng,80 m²,NaN,NaN,"103,75 triệu/m²"
8/4/2020,"La khê, Phường La Khê, Quận Hà Đông, Hà Nội",Quận Hà Đông,Phường La Khê,"Nhà ngõ, hẻm",Đã có sổ,4,4 phòng,31 m²,7 m,4.6 m,"66,13 triệu/m²"
8/4/2020,"816D, Đường La Nội, Phường Dương Nội, Quận Hà Đông, Hà Nội",Quận Hà Đông,Phường Dương Nội,"Nhà ngõ, hẻm",NaN,NaN,3 phòng,32.22 m²,NaN,NaN,"55,94 triệu/m²"
8/4/2020,"Đường Quang Trung, Phường Hà Cầu, Quận Hà Đông, Hà Nội",Quận Hà Đông,Phường Hà Cầu,"Nhà ngõ, hẻm",NaN,NaN,2 phòng,58 m²,9 m,6.5 m,"43,97 triệu/m²"
8/4/2020,"Huyền Kỳ, Phường Phú Lãm, Quận Hà Đông, Hà Nội",Quận Hà Đông,Phường Phú Lãm,"Nhà ngõ, hẻm",Đã có sổ,4,4 phòng,32 m²,NaN,NaN,"52,81 triệu/m²"
8/4/2020,"Phố Lụa, Phường Vạn Phúc, Quận Hà Đông, Hà Nội",Quận Hà Đông,Phường Vạn Phúc,"Nhà ngõ, hẻm",Đã có sổ,4,3 phòng,33 m²,NaN,NaN,"81,82 triệu/m²"
8/4/2020,"Đường Lê Trọng Tấn||1804, Phường La Khê, Quận Hà Đông, Hà Nội",Quận Hà Đông,Phường La Khê,"Nhà ngõ, hẻm",NaN,NaN,3 phòng,35 m²,NaN,6.3 m,"62,86 triệu/m²"
8/4/2020,"Đường Mậu Lương, Phường Kiến Hưng, Quận Hà Đông, Hà Nội",Quận Hà Đông,Phường Kiến Hưng,"Nhà ngõ, hẻm",NaN,NaN,3 phòng,52 m²,NaN,NaN,"46,15 triệu/m²"
8/4/2020,"Đường Phan Đình Giót, Phường La Khê, Quận Hà Đông, Hà Nội",Quận Hà Đông,Phường La Khê,"Nhà ngõ, hẻm",Đã có sổ,5,3 phòng,35 m²,9 m,3.46 m,"65,14 triệu/m²"
8/4/2020,"Hà Trì 1, Phường Hà Cầu, Quận Hà Đông, Hà Nội",Quận Hà Đông,Phường Hà Cầu,"Nhà ngõ, hẻm",Đã có sổ,4,3 phòng,32 m²,NaN,NaN,"73,44 triệu/m²"
8/4/2020,"Quang Trung, Phường Yên Nghĩa, Quận Hà Đông, Hà Nội",Quận Hà Đông,Phường Yên Nghĩa,"Nhà ngõ, hẻm",Đã có sổ,3,3 phòng,35 m²,10 m,3.5 m,"45,71 triệu/m²"
8/4/2020,"Yên hòa, Phường Yên Nghĩa, Quận Hà Đông, Hà Nội",Quận Hà Đông,Phường Yên Nghĩa,"Nhà ngõ, hẻm",Đã có sổ,4,4 phòng,38 m²,NaN,NaN,"36,84 triệu/m²"
8/4/2020,"86P, Đường Dương Nội, Phường Dương Nội, Quận Hà Đông, Hà Nội",Quận Hà Đông,Phường Dương Nội,"Nhà ngõ, hẻm",NaN,NaN,4 phòng,33.33 m²,NaN,NaN,"57,58 triệu/m²"
8/4/2020,"Đường Trần Phú, Phường Văn Quán, Quận Hà Đông, Hà Nội",Quận Hà Đông,Phường Văn Quán,"Nhà ngõ, hẻm",Đã có sổ,4,6 phòng,60 m²,15 m,4 m,75 triệu/m²
8/4/2020,"Đường Văn Khê, Phường La Khê, Quận Hà Đông, Hà Nội",Quận Hà Đông,Phường La Khê,Nhà phố liền kề,Đã có sổ,5,5 phòng,50 m²,NaN,4 m,121 triệu/m²
8/4/2020,"Đường Trần Phú, Phường Văn Quán, Quận Hà Đông, Hà Nội",Quận Hà Đông,Phường Văn Quán,"Nhà mặt phố, mặt tiền",NaN,NaN,5 phòng,82 m²,NaN,NaN,"63,41 triệu/m²"
8/4/2020,"Đường Vạn Phúc, Phường Vạn Phúc, Quận Hà Đông, Hà Nội",Quận Hà Đông,Phường Vạn Phúc,"Nhà ngõ, hẻm",NaN,NaN,5 phòng,37 m²,NaN,NaN,"89,19 triệu/m²"
8/4/2020,"Đường Mậu Lương, Phường Kiến Hưng, Quận Hà Đông, Hà Nội",Quận Hà Đông,Phường Kiến Hưng,"Nhà ngõ, hẻm",Đã có sổ,5,4 phòng,35 m²,10 m,3 m,60 triệu/m²
8/4/2020,"Tổ 15, Phường Yên Nghĩa, Quận Hà Đông, Hà Nội",Quận Hà Đông,Phường Yên Nghĩa,"Nhà ngõ, hẻm",Đã có sổ,4,4 phòng,40 m²,NaN,NaN,"40,5 triệu/m²"
8/4/2020,"123Q, Đường La Nội, Phường Dương Nội, Quận Hà Đông, Hà Nội",Quận Hà Đông,Phường Dương Nội,"Nhà ngõ, hẻm",NaN,NaN,3 phòng,32 m²,NaN,NaN,"70,31 triệu/m²"
8/4/2020,"Cầu am, Phường Vạn Phúc, Quận Hà Đông, Hà Nội",Quận Hà Đông,Phường Vạn Phúc,"Nhà ngõ, hẻm",Đã có sổ,5,4 phòng,35 m²,8 m,3.7 m,"62,86 triệu/m²"
8/4/2020,"ngô thị sỹ, Phường Vạn Phúc, Quận Hà Đông, Hà Nội",Quận Hà Đông,Phường Vạn Phúc,"Nhà ngõ, hẻm",Đã có sổ,5,4 phòng,35 m²,NaN,NaN,60 triệu/m²
8/4/2020,"Nguyễn Thái Học, Phường Yết Kiêu, Quận Hà Đông, Hà Nội",Quận Hà Đông,Phường Yết Kiêu,"Nhà ngõ, hẻm",Đã có sổ,4,3 phòng,30 m²,NaN,4 m,"98,33 triệu/m²"
8/4/2020,"Đường Vạn Phúc, Phường Vạn Phúc, Quận Hà Đông, Hà Nội",Quận Hà Đông,Phường Vạn Phúc,"Nhà ngõ, hẻm",Đã có sổ,4,3 phòng,33 m²,NaN,3.5 m,"72,73 triệu/m²"
8/4/2020,"1, Đường Trần Phú, Phường Mộ Lao, Quận Hà Đông, Hà Nội",Quận Hà Đông,Phường Mộ Lao,"Nhà ngõ, hẻm",NaN,NaN,2 phòng,41 m²,6 m,3 m,"60,98 triệu/m²"
8/4/2020,"Đường Yên Lộ, Phường Yên Nghĩa, Quận Hà Đông, Hà Nội",Quận Hà Đông,Phường Yên Nghĩa,"Nhà ngõ, hẻm",Đã có sổ,4,3 phòng,30 m²,9 m,35 m,53 triệu/m²
8/4/2020,"Đường Thanh Bình, Phường Mộ Lao, Quận Hà Đông, Hà Nội",Quận Hà Đông,Phường Mộ Lao,"Nhà ngõ, hẻm",Đã có sổ,3,4 phòng,57 m²,NaN,NaN,"51,75 triệu/m²"
8/4/2020,"296F, Đường Hà Trì, Phường Hà Cầu, Quận Hà Đông, Hà Nội",Quận Hà Đông,Phường Hà Cầu,"Nhà ngõ, hẻm",NaN,NaN,4 phòng,32.07 m²,NaN,NaN,"79,69 triệu/m²"
8/4/2020,"Đường Lê Văn Lương, Phường Dương Nội, Quận Hà Đông, Hà Nội",Quận Hà Đông,Phường Dương Nội,Nhà biệt thự,Giấy tờ khác,NaN,5 phòng,185 m²,NaN,NaN,"111,89 triệu/m²"
8/4/2020,"Đường Nguyễn Viết Xuân||1843, Phường Hà Cầu, Quận Hà Đông, Hà Nội",Quận Hà Đông,Phường Hà Cầu,"Nhà ngõ, hẻm",Đã có sổ,3,4 phòng,47 m²,10 m,4.5 m,"78,72 triệu/m²"
